"Unique Response Number","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","8.1. Internet of Things - e.g. fitness devices, security systems","8.2. Cloud computing","8.3. 3D printing","8.4. Machine Learning","8.5. Tracking","8.6. Artificial Intelligence - recommender systems, virtual assistants, language translation, spam filtering etc","8.7. Virtual Reality (VR)/ Augmented Reality (AR)","8.8. Robots","8.9. Self-driving technology (SD)","8.10. Drones","8.11. Blockchain","Q9","Q10","Q11","Q12","Q13","13.1. Monitoring digital and physical security","13.2. Automating data pattern detection and interpretation","13.3. Automating physical tasks","13.4. Automating administrative processes","13.5. Automating marketing activities","13.6. Assisting with queries","13.7. Supporting recruitment and selection","13.8. Evaluating employee performance","13.9. Monitoring employees","Q14","Q15","15.1. Sate government","15.2. Defence force","15.3. Research organisations (e.g. CERN - European organisation for nuclear research)","15.4. Tech companies - e.g. Google, Facebook, Apple, Microsoft","15.5. Commercial organisations","15.6. Non-government scientific organizations (e.g. AAAI = Association for the Advancement of AI)","15.7. Universities"
"887601-887583-97159580","35 - 44","Male","University postgraduate","Executive or official in a business or the government","Germany","Advanced","Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Slack,Online Banking,Google search,Smartphone apps",,"Slightly positive","Very positive","Very positive","Very positive","Neutral","Very positive","Very positive","Slightly positive","Slightly positive","Neutral","Slightly positive","I tolerate AI","Somewhat unwilling","Risks are slightly greater than benefits","Yes",,"Low comfort","High comfort","High comfort","High comfort","Moderately comfortably","High comfort","Moderately comfortably","Moderately comfortably","Low comfort","Hiring bias,Criminal justice bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,AI system failure",,"A little confidence","Not much confidence","A lot of confidence","No confidence","Neutral","A little confidence","A little confidence"
"887601-887583-97160610","18 - 34","Male","University postgraduate","Service industry,Clerical, sales or other office worker","South Africa","Intermediate","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Slack,Music and video streaming,Online Banking,Smart home devices - e.g. pet collars, watches, thermostats,Smartphone apps",,"Slightly positive","Very positive","Very positive","Very positive","Neutral","Slightly positive","Very positive","Slightly positive","Neutral","Slightly positive","Very positive","I approve of AI,I am suspicious of AI","Somewhat willing","Benefits are slightly greater then risks","Yes",,"Moderately comfortably","High comfort","High comfort","Moderately comfortably","Low comfort","High comfort","Low comfort","Low comfort","Low comfort","Hiring bias,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,AI system failure",,"No confidence","Not much confidence","A little confidence","No confidence","A little confidence","A little confidence","A little confidence"
"887601-887583-97161333","35 - 44","Male","University postgraduate","IT","Germany","Advanced","All of the above",,"Slightly positive","Slightly positive","Very positive","Very positive","Very negative","Slightly positive","Very positive","Very positive","Slightly positive","Slightly positive","Slightly positive","I embrace AI","Somewhat willing","Benefits are much greater than risks","No",,"Low comfort","High comfort","High comfort","High comfort","High comfort","High comfort","High comfort","Moderately comfortably","Low comfort","Hiring bias,Criminal justice bias,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Surveillance,Autonomous weapons",,"A little confidence","Not much confidence","A lot of confidence","Not much confidence","Not much confidence","A lot of confidence","A lot of confidence"
"887601-887583-97178345","45 - 54","Male","University postgraduate","Education","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Online Banking,Google search",,"Slightly negative","Slightly negative","Very positive","Slightly positive","Very negative","Slightly positive","Slightly positive","Neutral","Neutral","Neutral","Very positive","I am suspicious of AI","Somewhat unwilling","Risks are slightly greater than benefits","Yes",,"Low comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","High comfort","Low comfort","Low comfort","Low comfort","All of the above",,"Neutral","Neutral","A lot of confidence","No confidence","No confidence","Neutral","A little confidence"
"887601-887583-97181495","45 - 54","Female","Secondary","Self-employed","South Africa","Intermediate","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Neutral","Slightly positive","Very positive","Neutral","Very negative","Slightly positive","Neutral","Slightly negative","Neutral","Slightly positive","Neutral","I tolerate AI","Somewhat unwilling","Risks are much greater than benefits","Yes",,"Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Moderately comfortably","Low comfort","Low comfort","All of the above",,"No confidence","No confidence","Neutral","No confidence","No confidence","Neutral","A little confidence"
"887601-887583-97181729","55 - 65","Female","Tertiary - non university","Other","South Africa","Basic","Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Google search,Smartphone apps",,"Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Neutral","Slightly positive","Slightly positive","Very positive","Slightly positive","I am suspicious of AI","Somewhat unwilling","Risks are much greater than benefits","No",,"Low comfort","Low comfort","Moderately comfortably","Low comfort","Low comfort","Low comfort","Low comfort","Low comfort","Low comfort","Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Surveillance,Autonomous weapons,Technological unemployment,AI system failure",,"No confidence","No confidence","No confidence","Not much confidence","No confidence","No confidence","No confidence"
"887601-887583-97181888","45 - 54","Male","Tertiary - non university","IT","South Africa","Basic","Spam filters,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Slightly positive","Very positive","Slightly positive","Neutral","Very negative","Very positive","Slightly positive","Neutral","Slightly positive","Very positive","Slightly positive","I tolerate AI","Somewhat willing","Benefits and risks are about equal","Yes",,"High comfort","Moderately comfortably","High comfort","High comfort","Moderately comfortably","High comfort","Low comfort","Moderately comfortably","Low comfort","All of the above",,"No confidence","No confidence","Neutral","Not much confidence","No confidence","A little confidence","A little confidence"
"887601-887583-97182289","18 - 34","Female","Tertiary - non university","Self-employed,Other","South Africa","Intermediate","Rideshare apps - e.g. Uber,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Virtual assistants - e.g. Alexa, Siri,Online Banking,Smartphone apps",,"Slightly positive","Slightly negative","Very positive","Slightly positive","Neutral","Slightly positive","Very positive","Slightly negative","Very positive","Slightly positive","Neutral","I approve of AI","Somewhat unwilling","Benefits and risks are about equal","Yes",,"Low comfort","Moderately comfortably","Moderately comfortably","Moderately comfortably","Low comfort","Low comfort","Low comfort","High comfort","Moderately comfortably","Hiring bias,Criminal justice bias,Disease diagnosis,Data privacy,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Technological unemployment,AI system failure",,"Not much confidence","Neutral","A little confidence","A little confidence","Neutral","Neutral","A lot of confidence"
"887601-887583-97182739","65+","Female","Tertiary - non university","Education","South Africa","Basic","Social media - e.g. Facebook, Instagram,Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Music and video streaming,Online Banking,Anti-virus software,Google search,Smartphone apps",,"Very negative","Very negative","Very negative","Slightly positive",,"Slightly positive","Very negative","Very negative","Very negative","Very negative","Very negative","I accept AI","Neutral","Benefits and risks are about equal","Not sure",,,"Moderately comfortably","Low comfort","Moderately comfortably","Moderately comfortably","High comfort","Low comfort","Moderately comfortably","Low comfort","Hiring bias,Data privacy,Safety in autonomous vehicles,Cyber-attacks,Surveillance,Autonomous weapons,AI system failure",,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
"887601-887583-97182938","35 - 44","Female","University postgraduate","Self-employed","South Africa","Basic","Rideshare apps - e.g. Uber,Spam filters,Social media - e.g. Facebook, Instagram,Recommender systems - e.g. Movies (Netflix), Products (Amazon),Text systems -e.g. Grammarly, Google translate,Navigation apps - e.g. Google Maps,Facial recognition - e.g. unlock phones, tag photos, 3D photos,Music and video streaming,Online Banking,Anti-virus software,Smart home devices - e.g. pet collars, watches, thermostats,Google search,Smartphone apps",,"Slightly negative","Slightly negative","Very positive","Neutral","Slightly negative","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly positive","Slightly negative","I am suspicious of AI","Somewhat unwilling","Benefits and risks are about equal","Yes",,"Moderately comfortably","Moderately comfortably","Low comfort","High comfort","Moderately comfortably","Low comfort","Moderately comfortably","Moderately comfortably","High comfort","Disease diagnosis,Data privacy,Safety in autonomous vehicles,Digital manipulation - e.g. deepfakes (revenge porn, face swap),Cyber-attacks,Autonomous weapons",,"Not much confidence","A little confidence","A little confidence","A little confidence","A little confidence","A lot of confidence","A lot of confidence"
