"URN","Q7_0","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q7_7","Q7_8","Q7_9","Q7_10","Q7_11","Q7_12","Q7_13","Q7_14","Q7_15","Q7_16","Q7_17"
"887601-887583-97159580","0","0","0","1","1","0","1","1","0","0","1","0","0","1","1","0","0","0"
"887601-887583-97160610","1","1","1","1","0","0","0","1","1","0","1","0","1","0","1","0","0","0"
"887601-887583-97161333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"887601-887583-97178345","1","1","1","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0"
"887601-887583-97181495","1","1","1","1","1","1","0","0","1","0","1","1","0","1","1","0","0","0"
"887601-887583-97181729","0","0","1","1","1","1","0","0","1","1","1","0","0","1","1","0","0","0"
"887601-887583-97181888","0","1","0","1","1","1","0","0","1","0","1","1","0","1","1","0","0","0"
"887601-887583-97182289","1","0","1","1","1","1","1","0","1","1","1","0","0","0","1","0","0","0"
"887601-887583-97182739","0","0","1","0","1","1","0","0","1","0","1","1","0","1","1","0","0","0"
"887601-887583-97182938","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","0","0"
"887601-887583-97183756","0","0","1","1","1","1","1","0","1","1","1","0","1","1","1","0","0","0"
"887601-887583-97184068","0","0","1","1","1","1","1","0","1","1","1","0","1","1","1","0","0","0"
"887601-887583-97183919","1","1","1","1","1","1","1","1","0","0","1","1","0","1","1","0","0","0"
"887601-887583-97184570","1","1","1","1","1","1","1","1","1","0","1","1","0","1","0","0","0","0"
"887601-887583-97185938","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","0","0"
"887601-887583-97188030","0","0","1","1","0","1","1","0","1","1","1","1","1","1","1","0","0","0"
"887601-887583-97189369","1","0","1","1","1","1","1","0","1","0","1","1","0","1","1","0","0","0"
"887601-887583-97190484","0","1","1","1","1","1","0","0","1","0","1","1","0","1","1","0","0","0"
"887601-887583-97191595","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","0","0"
"887601-887583-97192053","1","1","1","1","1","1","0","0","1","1","1","1","1","1","1","0","0","0"
"887601-887583-97192117","1","1","1","1","1","1","1","0","0","0","1","1","0","0","1","0","0","0"
"887601-887583-97192836","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","0","0"
"887601-887583-97193562","0","0","1","0","1","0","0","1","0","0","1","0","1","1","1","0","0","0"
"887601-887583-97197448","0","0","1","1","1","1","0","0","1","0","1","1","1","1","1","0","0","0"
